               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.067054,            0.011373,                   0,             0.33956,               0.625,             0.40323,             0.17004,            0.043109,            0.015345,                   0,             0.00733,             0.00733,             0.00733
                  91,            0.044109,            0.011675,                   0,             0.58566,              0.6875,             0.64137,             0.16695,             0.04628,            0.014919,                   0,              0.0073,              0.0073,              0.0073
                  92,            0.046232,            0.011252,                   0,             0.58566,              0.6875,             0.64137,             0.16695,             0.04628,            0.014919,                   0,             0.00727,             0.00727,             0.00727
                  93,            0.089389,            0.010231,                   0,             0.46054,              0.6875,             0.53772,             0.16665,             0.03632,            0.017773,                   0,             0.00724,             0.00724,             0.00724
                  94,            0.069425,            0.011844,                   0,             0.46054,              0.6875,             0.53772,             0.16665,             0.03632,            0.017773,                   0,             0.00721,             0.00721,             0.00721
                  95,            0.064139,            0.013599,                   0,             0.64969,              0.8125,             0.72622,             0.22618,            0.039192,            0.017147,                   0,             0.00718,             0.00718,             0.00718
                  96,            0.039717,             0.01221,                   0,             0.64969,              0.8125,             0.72622,             0.22618,            0.039192,            0.017147,                   0,             0.00715,             0.00715,             0.00715
                  97,            0.041418,            0.011098,                   0,             0.62676,             0.73529,             0.73209,             0.21817,            0.035723,            0.017244,                   0,             0.00712,             0.00712,             0.00712
                  98,            0.057693,            0.012509,                   0,             0.62676,             0.73529,             0.73209,             0.21817,            0.035723,            0.017244,                   0,             0.00709,             0.00709,             0.00709
                  99,            0.042691,           0.0097449,                   0,             0.34113,                 0.5,              0.3161,            0.070288,            0.046743,            0.015691,                   0,             0.00706,             0.00706,             0.00706
                 100,            0.044594,           0.0092194,                   0,             0.34113,                 0.5,              0.3161,            0.070288,            0.046743,            0.015691,                   0,             0.00703,             0.00703,             0.00703
                 101,            0.045194,            0.011378,                   0,             0.33773,               0.625,             0.34663,             0.08101,            0.043796,            0.016006,                   0,               0.007,               0.007,               0.007
                 102,            0.089547,           0.0094204,                   0,             0.33773,               0.625,             0.34663,             0.08101,            0.043796,            0.016006,                   0,             0.00697,             0.00697,             0.00697
